trial,mode,profile,avg_ttff_ms,median_ttff_ms,p95_ttff_ms,rebuffer_events,rebuffer_ratio,bytes_downloaded,useful_bytes,prefetch_wasted_bytes,data_efficiency_ratio,prefetch_hit_rate
1,baseline,stable,107.96,107.63,118.6,0,0.0,3706080,3706080,0,1.0,0.0
1,pbi_v3,stable,3.63,0.01,0.01,0,0.0,4455120,4438560,16560,0.9963,0.95
2,baseline,stable,108.26,106.02,118.61,0,0.0,3706080,3706080,0,1.0,0.0
2,pbi_v3,stable,7.38,0.0,67.36,3,0.15,3812640,3778800,33840,0.9911,0.9
3,baseline,stable,109.62,110.99,115.65,0,0.0,3706080,3706080,0,1.0,0.0
3,pbi_v3,stable,7.55,0.01,73.43,0,0.0,4472400,4438560,33840,0.9924,0.9
1,baseline,mobile,246.82,248.45,282.44,2,0.1,3020640,3020640,0,1.0,0.0
1,pbi_v3,mobile,33.91,0.01,174.67,0,0.0,4472400,4438560,33840,0.9924,0.8
2,baseline,mobile,241.71,238.06,267.43,2,0.1,3391920,3391920,0,1.0,0.0
2,pbi_v3,mobile,38.74,0.01,207.71,0,0.0,4455120,4438560,16560,0.9963,0.8
3,baseline,mobile,247.75,243.26,274.55,4,0.2,3091200,3091200,0,1.0,0.0
3,pbi_v3,mobile,38.39,0.01,203.69,3,0.15,3726960,3693120,33840,0.9909,0.8
1,baseline,unstable,426.57,427.45,488.47,2,0.1,3620400,3620400,0,1.0,0.0
1,pbi_v3,unstable,112.58,0.01,336.66,3,0.15,4313280,4279440,33840,0.9922,0.65
2,baseline,unstable,551.89,422.0,1754.8,7,0.35,2709840,2709840,0,1.0,0.0
2,pbi_v3,unstable,77.16,0.01,303.53,5,0.25,3831600,3815040,16560,0.9957,0.75
3,baseline,unstable,562.69,422.29,1751.85,8,0.4,2294880,2294880,0,1.0,0.0
3,pbi_v3,unstable,100.35,0.01,355.63,4,0.2,2776320,2759760,16560,0.994,0.7
